feature,importance
TOTAL_FLOOR_AREA,38877
feature_building_age,34318
roof_insulation_thickness_mm,6961
form_mid_terrace,3529
form_semi_detached,2336
heat_sys_room_heater,2300
wall_type_cavity,2224
wall_insulation_none,2062
form_end_terrace,1875
form_detached,1829
heat_energy_electric,1772
heat_energy_gas,1653
win_extent_full,1568
wall_insulation_filled_cavity,1535
wall_type_solid,1394
roof_type_pitched,1263
prop_type_flat,1252
roof_covered_above,1237
prop_type_house,1192
heat_sys_storage,1106
heat_sys_boiler,1027
win_glazing_double,1006
form_unknown,980
wall_type_system,915
form_enclosed,906
wall_insulated_generic,759
heat_sys_radiator,757
win_extent_partial,685
win_glazing_single,675
heat_sys_community,665
roof_insulation_none,617
roof_insulated_generic,570
win_glazing_high_perf,491
roof_type_flat,403
construction_age_unknown,387
wall_measured_u_value,378
heat_sys_portable_or_none,372
prop_type_maisonette,333
heat_sys_underfloor,333
prop_type_bungalow_or_park,330
win_glazing_secondary,328
wall_insulation_partial,301
roof_insulation_limited,299
wall_insulation_external,292
heat_sys_heat_pump,290
wall_type_timber,267
wall_insulation_internal,263
roof_type_room,253
wall_type_stone,215
heat_sys_warm_air,156
heat_energy_solid,145
heat_sys_unknown,95
win_glazing_multiple,87
win_glazing_triple,71
heat_energy_oil,34
roof_unknown,22
wall_type_basement,10
win_unknown,0
wall_unknown,0
wall_type_park_home,0
wall_type_cob,0
roof_type_thatched,0
heat_sys_room_heaters,0
heat_sys_hot_water_only,0
heat_sys_micro_cogen,0
heat_sys_ceiling,0
wall_type_curtain,0
