feature,importance
win_glazing_high_perf,0.30639896
wall_insulation_none,0.19997784
wall_measured_u_value,0.07617691
heat_sys_portable_or_none,0.069652915
wall_unknown,0.042338263
heat_energy_electric,0.03244005
heat_sys_room_heaters,0.02496254
roof_insulation_thickness_mm,0.017389895
heat_sys_heat_pump,0.016332451
win_extent_full,0.013525392
prop_type_flat,0.012310197
roof_insulation_none,0.011793089
heat_sys_boiler,0.010731203
heat_sys_room_heater,0.010038432
construction_age_unknown,0.0087026935
heat_sys_radiator,0.008570305
heat_sys_unknown,0.008319019
prop_type_house,0.008172637
roof_covered_above,0.00815135
wall_insulation_filled_cavity,0.006928695
form_mid_terrace,0.006750809
wall_insulation_external,0.006709641
heat_sys_storage,0.006635795
heat_energy_gas,0.0059374897
roof_unknown,0.005906371
wall_insulation_partial,0.0057751248
feature_building_age,0.0057509965
heat_sys_community,0.005201522
form_unknown,0.0045094555
roof_insulation_limited,0.0040160893
win_glazing_single,0.0034657763
form_detached,0.0027654383
prop_type_maisonette,0.0025658328
wall_type_system,0.002496412
wall_type_cavity,0.002360666
prop_type_bungalow_or_park,0.0022942172
win_glazing_secondary,0.0022730236
wall_insulation_internal,0.0021441982
heat_sys_underfloor,0.0020999794
form_semi_detached,0.0018299783
heat_sys_warm_air,0.001804144
form_enclosed,0.0017582006
win_glazing_double,0.0017509937
win_extent_partial,0.0016812094
roof_type_flat,0.0016119538
form_end_terrace,0.001596077
TOTAL_FLOOR_AREA,0.0015367711
wall_insulated_generic,0.00153305
wall_type_solid,0.0015313043
win_glazing_triple,0.0015182665
wall_type_stone,0.0014170996
roof_insulated_generic,0.0014082517
roof_type_pitched,0.0013642331
win_glazing_multiple,0.0013107267
roof_type_room,0.0012019785
heat_energy_oil,0.000993932
wall_type_timber,0.00082340196
heat_energy_solid,0.00060292886
roof_type_thatched,0.000111444686
wall_type_basement,4.2357213e-05
wall_type_cob,0.0
win_unknown,0.0
wall_type_park_home,0.0
heat_sys_hot_water_only,0.0
heat_sys_micro_cogen,0.0
heat_sys_ceiling,0.0
wall_type_curtain,0.0
