feature,mean_abs_shap
wall_insulation_none,4.726299
roof_insulation_thickness_mm,2.1198373
construction_year_estimated,2.0539973
win_glazing_high_perf,2.0207338
heat_energy_electric,1.3165977
heat_energy_gas,1.2697035
heat_sys_room_heater,1.2233154
feature_building_age,1.1360834
form_mid_terrace,1.1312721
prop_type_flat,0.931049
win_extent_full,0.55855626
TOTAL_FLOOR_AREA,0.51893115
wall_type_cavity,0.48080438
prop_type_house,0.47313488
heat_sys_boiler,0.36115396
roof_covered_above,0.33578447
form_detached,0.2079538
roof_insulation_none,0.20010172
wall_insulation_filled_cavity,0.19694231
heat_sys_storage,0.17035945
construction_age_unknown,0.1613787
heat_sys_community,0.15960501
roof_type_pitched,0.13104789
win_glazing_single,0.13102914
form_end_terrace,0.1288451
roof_insulated_generic,0.11564157
form_semi_detached,0.1142407
heat_sys_room_heaters,0.1103809
heat_sys_radiator,0.10979872
heat_sys_portable_or_none,0.10739668
wall_type_solid,0.106908016
wall_measured_u_value,0.09989712
wall_insulation_partial,0.08921535
form_enclosed,0.07538123
form_unknown,0.07165503
heat_sys_heat_pump,0.070263274
wall_insulated_generic,0.06938619
wall_type_system,0.06526955
win_glazing_double,0.05908863
win_extent_partial,0.048614457
wall_insulation_external,0.04204465
wall_insulation_internal,0.04022351
prop_type_maisonette,0.038936235
roof_insulation_limited,0.028689282
prop_type_bungalow_or_park,0.027795058
roof_type_flat,0.01384747
wall_type_timber,0.011858686
win_glazing_secondary,0.011624097
roof_type_room,0.011515511
heat_sys_underfloor,0.009526354
heat_energy_solid,0.00785212
wall_type_stone,0.0064106453
win_glazing_triple,0.0054387976
heat_sys_unknown,0.004796542
heat_sys_warm_air,0.003939635
heat_energy_oil,0.0033843766
win_glazing_multiple,0.0033049316
roof_unknown,0.001589691
wall_unknown,0.0008269415
wall_type_basement,5.865288e-05
roof_type_thatched,5.1986193e-05
win_unknown,0.0
wall_type_park_home,0.0
wall_type_cob,0.0
wall_type_curtain,0.0
heat_sys_hot_water_only,0.0
heat_sys_micro_cogen,0.0
heat_sys_ceiling,0.0
