TOTAL_FLOOR_AREA,heat_energy_gas,heat_energy_electric,heat_energy_oil,heat_energy_solid,heat_sys_boiler,heat_sys_radiator,heat_sys_room_heater,heat_sys_storage,heat_sys_underfloor,heat_sys_heat_pump,heat_sys_community,heat_sys_warm_air,heat_sys_portable_or_none,heat_sys_ceiling,heat_sys_micro_cogen,heat_sys_hot_water_only,heat_sys_unknown,heat_sys_room_heaters,roof_type_pitched,roof_type_room,roof_type_flat,roof_type_thatched,roof_covered_above,roof_insulation_none,roof_insulation_limited,roof_insulated_generic,roof_unknown,roof_insulation_thickness_mm,wall_type_cavity,wall_type_solid,wall_type_system,wall_type_timber,wall_type_curtain,wall_type_basement,wall_type_stone,wall_type_cob,wall_type_park_home,wall_insulation_none,wall_insulation_filled_cavity,wall_insulation_partial,wall_insulation_internal,wall_insulation_external,wall_insulated_generic,wall_unknown,wall_measured_u_value,win_glazing_single,win_glazing_double,win_glazing_triple,win_glazing_secondary,win_glazing_multiple,win_glazing_high_perf,win_extent_full,win_extent_partial,win_unknown,prop_type_house,prop_type_flat,prop_type_maisonette,prop_type_bungalow_or_park,form_semi_detached,form_detached,form_mid_terrace,form_end_terrace,form_enclosed,form_unknown,construction_age_unknown,feature_building_age,y_true,y_pred_xgb,residual,abs_error,squared_error
86.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,163.0,89,22.874586,66.12541389465332,66.12541389465332,4372.57036273921
21.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,101.5,8,59.34825,-51.34825134277344,51.34825134277344,2636.642915960634
52.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,74.5,8,58.22443,-50.224430084228516,50.224430084228516,2522.4933772855584
16.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,42.0,9,58.00544,-49.00543975830078,49.00543975830078,2401.533125904447
85.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,99.5,10,54.785034,-44.7850341796875,44.7850341796875,2005.6992864757776
71.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,167.0,11,54.56293,-43.562931060791016,43.562931060791016,1897.7289626072306
35.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,300.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,80.5,23,66.50352,-43.503517150878906,43.503517150878906,1892.5560044968151
135.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,16.0,89,45.54921,43.45079040527344,43.45079040527344,1887.9711868430022
96.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,166.0,13,56.101624,-43.10162353515625,43.10162353515625,1857.7499513663352
67.87,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,39.0,8,50.045353,-42.045352935791016,42.045352935791016,1767.8117034952302
