TOTAL_FLOOR_AREA,heat_energy_gas,heat_energy_electric,heat_energy_oil,heat_energy_solid,heat_sys_boiler,heat_sys_radiator,heat_sys_room_heater,heat_sys_storage,heat_sys_underfloor,heat_sys_heat_pump,heat_sys_community,heat_sys_warm_air,heat_sys_portable_or_none,heat_sys_ceiling,heat_sys_micro_cogen,heat_sys_hot_water_only,heat_sys_unknown,heat_sys_room_heaters,roof_type_pitched,roof_type_room,roof_type_flat,roof_type_thatched,roof_covered_above,roof_insulation_none,roof_insulation_limited,roof_insulated_generic,roof_unknown,roof_insulation_thickness_mm,wall_type_cavity,wall_type_solid,wall_type_system,wall_type_timber,wall_type_curtain,wall_type_basement,wall_type_stone,wall_type_cob,wall_type_park_home,wall_insulation_none,wall_insulation_filled_cavity,wall_insulation_partial,wall_insulation_internal,wall_insulation_external,wall_insulated_generic,wall_unknown,wall_measured_u_value,win_glazing_single,win_glazing_double,win_glazing_triple,win_glazing_secondary,win_glazing_multiple,win_glazing_high_perf,win_extent_full,win_extent_partial,win_unknown,prop_type_house,prop_type_flat,prop_type_maisonette,prop_type_bungalow_or_park,form_semi_detached,form_detached,form_mid_terrace,form_end_terrace,form_enclosed,form_unknown,construction_age_unknown,construction_year_estimated,feature_building_age,y_true,y_pred_xgb,residual,abs_error,squared_error
86.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1850.0,163.0,89,29.24813,59.751869201660156,59.751869201660156,3570.2858730923035
21.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1914.5,101.5,8,59.8238,-51.82379913330078,51.82379913330078,2685.706156608707
52.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1939.5,74.5,8,57.930813,-49.93081283569336,49.93081283569336,2493.0860704330407
16.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1971.0,42.0,9,58.420532,-49.4205322265625,49.4205322265625,2442.3890055567026
85.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1914.5,99.5,10,54.701904,-44.701904296875,44.701904296875,1998.2602477669716
35.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,300.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1939.5,80.5,23,66.72833,-43.72833251953125,43.72833251953125,1912.1670649386942
71.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1850.0,167.0,11,54.46588,-43.46588134765625,43.46588134765625,1889.2828413285315
96.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1850.0,166.0,13,55.91711,-42.917110443115234,42.917110443115234,1841.8783687865507
65.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1850.0,164.0,22,63.920906,-41.92090606689453,41.92090606689453,1757.3623654693947
50.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1971.0,39.0,24,64.65993,-40.65992736816406,40.65992736816406,1653.229693584377
88.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1958.0,61.0,39,79.0968,-40.0968017578125,40.0968017578125,1607.7535112053156
40.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1914.5,100.5,30,69.97339,-39.973388671875,39.973388671875,1597.8718019127846
44.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2021.0,3.0,41,80.793594,-39.79359436035156,39.79359436035156,1583.5301521162037
33.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,300.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1850.0,176.0,29,68.70765,-39.70764923095703,39.70764923095703,1576.6974074487225
